date,time,code,open,high,low,close,volume,amount,adjustflag
2012-09-12,20120912150000000,sh.600000,3.4551880800,3.4737643600,3.4458999400,3.4737643600,10198900,76002224.0000,2
2012-09-13,20120913103000000,sh.600000,3.4691202900,3.4784084300,3.4551880800,3.4691202900,6890400,51468269.0000,2
2012-09-13,20120913113000000,sh.600000,3.4691202900,3.4784084300,3.4551880800,3.4644762200,6279200,46872333.0000,2
2012-09-13,20120913140000000,sh.600000,3.4644762200,3.4784084300,3.4551880800,3.4737643600,7173600,53552424.0000,2
2012-09-13,20120913150000000,sh.600000,3.4737643600,3.4784084300,3.4598321500,3.4598321500,8253400,61728145.0000,2
2012-09-14,20120914103000000,sh.600000,3.4830525000,3.4876965700,3.4598321500,3.4644762200,13023900,97364487.0000,2
2012-09-14,20120914113000000,sh.600000,3.4691202900,3.4969847100,3.4598321500,3.4969847100,20101700,150767913.0000,2
2012-09-14,20120914140000000,sh.600000,3.4969847100,3.5109169200,3.4923406400,3.5016287800,14851100,112011326.0000,2
2012-09-14,20120914150000000,sh.600000,3.5062728500,3.5062728500,3.4876965700,3.4923406400,12574900,94744038.0000,2
2012-09-17,20120917103000000,sh.600000,3.4923406400,3.4923406400,3.4644762200,3.4691202900,10652500,79698771.0000,2
2012-09-17,20120917113000000,sh.600000,3.4691202900,3.4830525000,3.4505440100,3.4691202900,9783300,73007183.0000,2
2012-09-17,20120917140000000,sh.600000,3.4644762200,3.4737643600,3.4598321500,3.4644762200,6333100,47264819.0000,2
2012-09-17,20120917150000000,sh.600000,3.4644762200,3.4644762200,3.4366118000,3.4412558700,12724800,94507460.0000,2
2012-09-18,20120918103000000,sh.600000,3.4319677300,3.4366118000,3.4180355200,3.4319677300,8454700,62378431.0000,2
2012-09-18,20120918113000000,sh.600000,3.4273236600,3.4319677300,3.4133914500,3.4273236600,5018300,36980295.0000,2
2012-09-18,20120918140000000,sh.600000,3.4226795900,3.4319677300,3.4180355200,3.4226795900,6177500,45542193.0000,2
